Run	type	type_1
ERR1666068	Pine_Ridge_seleniferous	seleniferous
ERR1666069	Pine_Ridge_seleniferous	seleniferous
ERR1666070	Pine_Ridge_seleniferous	seleniferous
ERR1666071	Pine_Ridge_seleniferous	seleniferous
ERR1666072	Pine_Ridge_seleniferous	seleniferous
ERR1666073	Pine_Ridge_seleniferous	seleniferous
ERR1666074	Pine_Ridge_seleniferous	seleniferous
ERR1666075	Pine_Ridge_seleniferous	seleniferous
ERR1666076	Pine_Ridge_seleniferous	seleniferous
ERR1666077	Pine_Ridge_seleniferous	seleniferous
ERR1666078	Pine_Ridge_seleniferous	seleniferous
ERR1666079	Pine_Ridge_seleniferous	seleniferous
ERR1666080	Pine_Ridge_seleniferous	seleniferous
ERR1666081	Pine_Ridge_seleniferous	seleniferous
ERR1666082	Pine_Ridge_seleniferous	seleniferous
ERR1666083	Pine_Ridge_seleniferous	seleniferous
ERR1666084	Pine_Ridge_seleniferous	seleniferous
ERR1666085	Pine_Ridge_seleniferous	seleniferous
ERR1666086	Pine_Ridge_seleniferous	seleniferous
ERR1666087	Pine_Ridge_seleniferous	seleniferous
ERR1666088	Pine_Ridge_seleniferous	seleniferous
ERR1666089	Pine_Ridge_seleniferous	seleniferous
ERR1666090	Pine_Ridge_seleniferous	seleniferous
ERR1666091	Pine_Ridge_seleniferous	seleniferous
ERR1666092	Pine_Ridge_seleniferous	seleniferous
ERR1666093	Pine_Ridge_seleniferous	seleniferous
ERR1666094	Pine_Ridge_seleniferous	seleniferous
ERR1666095	Pine_Ridge_seleniferous	seleniferous
ERR1666096	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666097	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666098	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666099	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666100	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666101	Pine_Ridge_seleniferous	seleniferous
ERR1666102	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666103	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666104	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666105	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666106	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666107	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666108	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666109	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666110	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666111	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666112	Pine_Ridge_seleniferous	seleniferous
ERR1666113	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666114	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666115	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666116	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666117	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666118	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666119	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666120	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666121	Cloudy_Pass_non-seleniferous	non-seleniferous
ERR1666122	Pine_Ridge_seleniferous	seleniferous
ERR1666123	Pine_Ridge_seleniferous	seleniferous
ERR1666124	Pine_Ridge_seleniferous	seleniferous
ERR1666125	Pine_Ridge_seleniferous	seleniferous
ERR1666126	None	None
ERR1666127	None	None
ERR1666128	None	None
ERR1666129	None	None
ERR1666130	None	None
ERR1666131	None	None
