class	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_1"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_2"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_3"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_4"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_5"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_6"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_7"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_8"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_9"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_10"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_11"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_12"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_13"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_14"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_15"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_16"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_17"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_18"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_19"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_20"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_21"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_22"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_23"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_24"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_25"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_26"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_27"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_28"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_29"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_30"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_31"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_32"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_33"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_34"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_35"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_36"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_37"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_38"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_39"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_40"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_41"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_42"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	NA
"OTU_43"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_44"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"OTU_45"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_46"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Flavisolibacter"	NA
"OTU_47"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_48"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_49"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA
"OTU_50"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_51"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_52"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_53"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_54"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_55"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_56"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA
"OTU_57"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_58"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"OTU_59"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	NA	NA	NA
"OTU_60"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"FFCH11085"	NA	NA
"OTU_61"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_62"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ensifer"	NA
"OTU_63"	"Eukaryota"	NA	NA	NA	NA	NA	NA
